Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
,,,800.729,1553.0743
,,,801.789,1558.3963
,,,802.858,1549.0364
,,,803.921,1630.4252
,,,804.995,1572.0133
,,,806.069,1548.9032
,,,807.124,1530.2617
,,,808.183,1577.9759
,,,809.257,1558.8498
,,,810.318,1538.9038
,,,811.376,1579.5406
,,,812.428,1596.6491
,,,813.495,1591.5636
,,,814.555,1595.582
,,,815.615,1540.3524
,,,816.687,1479.3425
,,,817.739,1587.4013
,,,818.804,1602.3107
,,,819.878,1549.6892
,,,820.954,1559.6207
,,,822.007,1548.4521
,,,823.069,1516.1848
,,,824.127,1559.1609
,,,825.193,1530.666
,,,826.252,1550.5901
,,,827.304,1508.6658
,,,828.375,1580.4209
,,,829.451,1547.4202
,,,830.524,1524.2949
,,,831.586,1553.149
,,,832.648,1523.9974
,,,833.71,1536.5496
,,,834.77,1538.3964
,,,835.848,1504.6662
,,,836.967,1526.8363
,,,838.03,1533.6419
,,,839.083,1556.0275
,,,840.145,1524.4119
,,,841.201,1522.69
,,,842.253,1519.2678
,,,843.313,1552.0866
,,,844.366,1569.8246
,,,845.418,1509.2208
,,,846.473,1550.5316
,,,847.535,1540.5588
,,,848.586,1523.8011
,,,849.648,1537.1621
,,,850.715,1501.1334
,,,851.778,1506.5698
,,,852.831,1504.0504
,,,853.902,1522.025
,,,854.957,1469.8941
,,,856.019,1512.7891
,,,857.072,1549.7013
,,,858.129,1578.2633
,,,859.226,1494.7828
,,,860.28,1563.7473
,,,861.337,1500.6787
,,,862.389,1508.6929
,,,863.457,1513.722
,,,864.534,1504.7294
,,,865.682,1506.493
,,,866.757,1492.6422
,,,867.811,1556.3867
,,,868.866,1541.531
,,,869.92,1502.4338
,,,870.973,1539.0652
,,,872.028,1518.7288
,,,873.088,1474.0207
,,,874.145,1483.999
,,,875.214,1505.2194
,,,876.27,1534.9958
,,,877.322,1514.9815
,,,878.387,1515.2596
,,,879.447,1503.2423
,,,880.498,1505.6473
,,,881.553,1522.5014
,,,882.629,1477.5407
,,,883.701,1514.4611
,,,884.753,1493.3816
,,,885.804,1503.7792
,,,886.875,1526.6693
,,,887.948,1522.1946
,,,889.02,1458.3275
,,,890.081,1511.7383
,,,891.134,1486.4234
,,,892.196,1530.2032
,,,893.261,1498.5844
,,,894.345,1475.7487
,,,895.405,1460.7736
,,,896.458,1499.374
,,,897.513,1527.9062
,,,898.597,1516.3579
,,,899.649,1547.9084
,,,900.702,1510.2509
,,,901.787,1512.2185
,,,902.847,1519.3535
,,,903.907,1475.9722
,,,904.983,1506.5042
,,,906.06,1479.5986
,,,907.113,1479.1597
,,,908.188,1520.5332
,,,909.25,1522.2097
,,,910.313,1475.6583
,,,911.366,1502.6885
,,,912.422,1486.8308
,,,913.49,1485.3304
,,,914.55,1478.8406
,,,915.608,1448.4735
,,,916.668,1510.0627
,,,917.723,1527.2413
,,,918.78,1435.4547
,,,919.832,1465.6577
,,,920.886,1471.8672
,,,921.942,1446.4826
,,,922.997,1509.4908
,,,924.053,1469.2537
,,,925.123,1483.6136
,,,926.198,1483.412
,,,927.249,1436.7387
,,,928.315,1423.2677
,,,929.366,1463.4931
,,,930.427,1448.7735
,,,931.502,1457.2608
,,,932.554,1435.499
,,,933.622,1450.2622
,,,934.685,1478.0024
,,,935.739,1456.5913
,,,936.817,1494.5548
,,,937.888,1434.7393
,,,938.947,1402.7216
,,,940.008,1397.0023
,,,941.071,1378.8812
,,,942.129,1356.5683
,,,943.185,1270.4066
,,,944.239,1262.0582
,,,945.309,1210.9644
,,,946.367,1173.629
,,,947.419,1151.9689
,,,948.477,1118.4033
,,,949.531,1094.8177
,,,950.603,1059.7571
,,,951.676,1040.0999
,,,952.729,991.9818
,,,953.792,994.3252
,,,954.854,943.8153
,,,955.913,921.5331
,,,956.982,896.1801
,,,958.061,861.6424
,,,959.117,821.619
,,,960.192,800.1596
,,,961.256,802.3791
,,,962.307,768.6076
,,,963.366,729.4972
,,,964.423,733.924
,,,965.496,704.1518
,,,966.567,673.9487
,,,967.62,639.7479
,,,968.684,610.5115
,,,969.746,589.4832
,,,970.814,596.2664
,,,971.889,566.7671
,,,972.96,549.4152
,,,974.033,523.9053
,,,975.097,508.7799
,,,976.159,482.9382
,,,977.212,469.9057
,,,978.271,467.1486
,,,979.345,438.1647
,,,980.425,416.8381
,,,981.493,387.787
,,,982.545,375.3322
,,,983.618,369.6996
,,,984.697,338.7836
,,,985.771,326.8138
,,,986.833,313.9153
,,,987.896,312.854
,,,988.965,287.8527
,,,990.026,278.0841
,,,991.085,267.3378
,,,992.138,250.0889
,,,993.21,232.7316
,,,994.274,220.2078
,,,995.337,204.5617
,,,996.397,197.8022
,,,997.454,182.603
,,,998.511,169.1776
,,,999.58,159.438
,,,1000.654,146.3732
,,,1001.726,126.418
,,,1002.801,127.5008
,,,1003.878,114.8685
,,,1004.948,103.2694
,,,1006.022,93.534
,,,1007.075,79.1404
,,,1008.145,74.4826
,,,1009.206,67.0303
,,,1010.282,56.649
,,,1011.341,42.138
,,,1012.397,39.7882
,,,1013.47,27.8085
,,,1014.531,19.8646
,,,1015.6,7.0229
,,,1016.662,0.7481
,,,1017.715,-3.4838
,,,1018.772,-13.4979
,,,1019.835,-19.408
,,,1020.896,-31.858
,,,1021.966,-37.9209
,,,1023.029,-41.867
,,,1024.089,-56.8337
,,,1025.151,-59.0921
,,,1026.212,-66.4502
,,,1027.264,-76.8025
,,,1028.336,-81.0437
,,,1029.411,-84.5492
,,,1030.483,-88.611
,,,1031.551,-94.6412
